forfatter,tekst,post_id,tidsstempel
@bruger1,"Mette Frederiksen holdt tale i København om klimaændringer. Statsministeren mødte med Lars Løkke Rasmussen.",1,2024-01-01 10:00:00
@bruger2,"Besøgte Tivoli i København. Danmark er et smukt land om sommeren.",2,2024-01-02 14:30:00
@bruger3,"Novo Nordisk åbnede nyt kontor i Bagsværd. Anders Povlsen var til stede ved åbningen.",3,2024-01-03 09:15:00
@bruger1,"Mødtes med Peter Jensen fra Carlsberg i Valby. Diskuterede bæredygtighed i ølindustrien.",4,2024-01-04 16:45:00
@bruger4,"Dronning Margrethe besøgte Aarhus. Kronprins Frederik deltog også i arrangementet.",5,2024-01-05 11:20:00
@bruger2,"Cykler gennem Christianshavn. Københavns kanaler er så smukke på denne tid af året.",6,2024-01-06 18:00:00
@bruger5,"Lego åbnede nyt hovedkvarter i Billund. Familien Kirk Kristiansen var til stede.",7,2024-01-07 13:10:00
@bruger3,"Mærsk annoncerede nye grønne initiativer. Mødet fandt sted i Esbjerg.",8,2024-01-08 10:30:00
@bruger6,"Rasmus Klump er stadig populær! Besøgte børnebogmuseum i Odense.",9,2024-01-09 15:00:00
@bruger1,"H.C. Andersen Festival i Odense var fantastisk. Hans Christian Andersens eventyr lever videre.",10,2024-01-10 08:45:00
